Hand,Success Rate
1,11.786
2,21.965
3,31.539
4,40.151
5,47.505
6,54.08
7,59.796
8,65.455
9,70.212
10,74.031
11,77.752
12,80.893
13,83.815
14,86.115
15,88.21
16,90.058
17,91.687
18,93.058
19,94.198
20,95.186
21,95.952
22,96.62
23,97.342
24,97.84
25,98.213
26,98.604
27,98.892
28,99.104
29,99.305
30,99.462
31,99.578
32,99.705
33,99.769
34,99.832
35,99.87
36,99.918
37,99.937
38,99.966
39,99.964
40,99.982
41,99.987
42,99.994
43,99.992
44,99.999
45,99.998
46,99.997
47,100
48,100
49,99.999
50,100
51,100
52,100
53,100
54,100
55,100
56,100
57,100
58,100
59,100
60,100
